session_code,round,round_reward_A,round_reward_B,high_probability_option
qae94s7s,1,1,0,A
qae94s7s,2,1,0,A
qae94s7s,3,,,
qae94s7s,4,,,
qae94s7s,5,,,
3y33zbcy,1,1,0,A
3y33zbcy,2,,,
3y33zbcy,3,,,
3y33zbcy,4,,,
3y33zbcy,5,,,
9wfi28us,1,,,
9wfi28us,2,,,
9wfi28us,3,,,
9wfi28us,4,,,
9wfi28us,5,,,
mradzkju,1,1,0,A
mradzkju,2,,,
mradzkju,3,,,
mradzkju,4,,,
mradzkju,5,,,
e7i2mapz,1,,,
e7i2mapz,2,,,
e7i2mapz,3,,,
e7i2mapz,4,,,
e7i2mapz,5,,,
c4xlm8ww,1,,,
c4xlm8ww,2,,,
c4xlm8ww,3,,,
c4xlm8ww,4,,,
c4xlm8ww,5,,,
