session_code,round,round_reward_A,round_reward_B,high_probability_option
czzitki6,1,1,0,A
czzitki6,2,,,
czzitki6,3,,,
czzitki6,4,,,
czzitki6,5,,,
pixv0kyk,1,1,0,A
pixv0kyk,2,1,0,A
pixv0kyk,3,0,1,A
pixv0kyk,4,1,0,A
pixv0kyk,5,1,0,A
4gg1gy8j,1,1,0,A
4gg1gy8j,2,,,
4gg1gy8j,3,,,
4gg1gy8j,4,,,
4gg1gy8j,5,,,
8glfk513,1,1,0,A
8glfk513,2,1,0,A
8glfk513,3,,,
8glfk513,4,,,
8glfk513,5,,,
eesbshc6,1,1,0,A
eesbshc6,2,1,0,A
eesbshc6,3,0,1,A
eesbshc6,4,1,0,A
eesbshc6,5,1,0,A
w0jl63jk,1,1,0,A
w0jl63jk,2,,,
w0jl63jk,3,,,
w0jl63jk,4,,,
w0jl63jk,5,,,
tfy971k2,1,1,0,A
tfy971k2,2,1,0,A
tfy971k2,3,0,1,A
tfy971k2,4,1,0,A
tfy971k2,5,1,0,A
