participant_code,current_app,current_page,time_started_utc
fazy4hmt,main_task,FirstDecisions,2025-04-13 14:11:28.611861
dobm3jvr,main_task,FinalResults,2025-04-13 14:18:25.480852
psoklsi5,main_task,SecondDecisions,2025-04-13 15:13:01.515505
6kvo41b5,main_task,RoundResults,2025-04-13 15:13:01.527411
wr4su6ia,main_task,SecondDecisions,2025-04-13 15:13:01.768090
kh6ionw3,main_task,SecondDecisions,2025-04-13 15:13:01.801066
vkf27p7k,main_task,SecondDecisions,2025-04-13 15:13:01.404448
td2ah20f,main_task,RoundResults,2025-04-13 15:19:59.566327
bnk55wjy,main_task,RoundResults,2025-04-13 15:19:59.544002
qvl43cnd,main_task,FirstDecisions,2025-04-13 15:19:58.713417
l29u9ihj,main_task,RoundResults,2025-04-13 15:19:59.520184
2ehmcs35,main_task,FirstDecisions,2025-04-13 15:19:58.950410
aej5czuc,main_task,FinalResults,2025-04-13 15:22:25.778529
iz5lp2i3,main_task,FinalResults,2025-04-13 15:22:26.889536
fflu9cat,main_task,SecondDecisions,2025-04-13 15:22:29.877030
fda6hafi,main_task,FinalResults,2025-04-13 15:22:28.486444
eq96mofv,main_task,SecondDecisions,2025-04-13 15:22:27.202586
0fqnuczx,main_task,SecondDecisions,2025-04-18 09:06:57.959565
igbjh1ie,main_task,RoundResults,2025-04-18 09:06:56.747256
ymmi5di6,main_task,SecondDecisions,2025-04-18 09:06:58.191801
837y927p,main_task,SecondDecisions,2025-04-18 09:06:56.758323
ip1b1wbz,main_task,SecondDecisions,2025-04-18 09:06:59.236818
iudjbpbs,main_task,FinalResults,2025-04-18 09:34:58.612122
y78y834x,,,
rvez31zk,,,
hzmqov2d,,,
2oyta4em,,,
