Choice 1 Accuracy:
Trial	Accuracy
1	50.7
2	69.2
3	80.1
4	77.1
5	41.3
6	65.2
7	77.8
8	75.6
9	53
10	72.3
11	71.4
12	70.1
13	61.7
14	75.5
15	77.2
16	26.3
17	39.5
18	60.5
19	34.6
20	57
21	63.8
22	64.7
23	48.4
24	71.1
25	66.6
26	63.2
27	51
28	68.6
29	65.4
30	61.4
31	54.7
32	66.1
33	29.1
34	45.7
35	70.7
36	65.2
37	50.8
38	69.5
39	72.7
40	53.3
41	73.9
42	71.5
43	56.6
44	70.3
45	65.1
46	63.8
47	56.3
48	26.8
49	45.7
50	32.9
51	49.5
52	65.3
53	63.7
54	52.2
55	63.1
56	63.4
57	47
58	65.4
59	61.1
60	63.2
61	47.5
62	64.5
63	67.6
64	59.5

Choice 2 Accuracy:
Trial	Accuracy
1	51.9
2	73.7
3	84.4
4	80.8
5	40.6
6	70.1
7	79.7
8	77.6
9	55.4
10	76.3
11	71.6
12	74.1
13	66.2
14	79.7
15	77
16	20.3
17	37.7
18	59.9
19	30.2
20	54.6
21	65.7
22	66.7
23	51.3
24	68.9
25	70
26	63.6
27	50.7
28	73.8
29	69.7
30	63.6
31	53.9
32	71.7
33	29
34	53.3
35	71.9
36	72.2
37	52
38	76
39	73.5
40	53
41	74
42	66.8
43	54.7
44	76
45	63.1
46	65.8
47	58.9
48	23.1
49	43.5
50	33.6
51	50.5
52	65.6
53	62
54	52.8
55	69.8
56	65.3
57	51.5
58	66.4
59	59.3
60	61.5
61	50.5
62	65.4
63	69.2
64	61.1
