1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 2 1 2 2 2
1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2

Image One Details:
Round 1: 145/284 (51%)
Round 2: 208/299 (70%)
Round 3: 237/296 (80%)
Round 4: 236/306 (77%)
Round 5: 125/303 (41%)
Round 6: 200/305 (66%)
Round 7: 235/302 (78%)
Round 8: 229/303 (76%)
Round 9: 158/296 (53%)
Round 10: 219/303 (72%)
Round 11: 216/301 (72%)
Round 12: 209/298 (70%)
Round 13: 189/308 (61%)
Round 14: 232/306 (76%)
Round 15: 232/302 (77%)
Round 16: 224/304 (74%)
Round 17: 184/306 (60%)
Round 18: 119/301 (40%)
Round 19: 197/301 (65%)
Round 20: 130/302 (43%)
Round 21: 108/301 (36%)
Round 22: 107/303 (35%)
Round 23: 157/304 (52%)
Round 24: 88/305 (29%)
Round 25: 100/299 (33%)
Round 26: 112/302 (37%)
Round 27: 148/302 (49%)
Round 28: 94/299 (31%)
Round 29: 104/301 (35%)
Round 30: 113/295 (38%)
Round 31: 136/300 (45%)
Round 32: 100/298 (34%)
Round 33: 88/302 (29%)
Round 34: 137/302 (45%)
Round 35: 216/307 (70%)
Round 36: 196/302 (65%)
Round 37: 155/305 (51%)
Round 38: 215/308 (70%)
Round 39: 217/297 (73%)
Round 40: 161/302 (53%)
Round 41: 226/307 (74%)
Round 42: 209/291 (72%)
Round 43: 172/304 (57%)
Round 44: 211/300 (70%)
Round 45: 199/304 (65%)
Round 46: 190/298 (64%)
Round 47: 171/302 (57%)
Round 48: 229/313 (73%)
Round 49: 165/304 (54%)
Round 50: 202/301 (67%)
Round 51: 149/295 (51%)
Round 52: 103/300 (34%)
Round 53: 107/295 (36%)
Round 54: 144/299 (48%)
Round 55: 110/301 (37%)
Round 56: 110/303 (36%)
Round 57: 158/298 (53%)
Round 58: 104/298 (35%)
Round 59: 114/296 (39%)
Round 60: 110/299 (37%)
Round 61: 158/301 (52%)
Round 62: 102/287 (36%)
Round 63: 96/296 (32%)
Round 64: 118/294 (40%)

Image Two Details:
Round 1: 150/289 (52%)
Round 2: 219/297 (74%)
Round 3: 255/302 (84%)
Round 4: 244/302 (81%)
Round 5: 123/303 (41%)
Round 6: 216/308 (70%)
Round 7: 243/305 (80%)
Round 8: 239/308 (78%)
Round 9: 169/305 (55%)
Round 10: 228/299 (76%)
Round 11: 219/306 (72%)
Round 12: 226/305 (74%)
Round 13: 202/305 (66%)
Round 14: 243/305 (80%)
Round 15: 235/305 (77%)
Round 16: 243/305 (80%)
Round 17: 190/305 (62%)
Round 18: 122/304 (40%)
Round 19: 213/305 (70%)
Round 20: 138/304 (45%)
Round 21: 105/306 (34%)
Round 22: 101/303 (33%)
Round 23: 146/300 (49%)
Round 24: 95/305 (31%)
Round 25: 89/297 (30%)
Round 26: 110/302 (36%)
Round 27: 148/300 (49%)
Round 28: 78/298 (26%)
Round 29: 92/304 (30%)
Round 30: 110/302 (36%)
Round 31: 141/306 (46%)
Round 32: 83/293 (28%)
Round 33: 88/303 (29%)
Round 34: 160/300 (53%)
Round 35: 215/299 (72%)
Round 36: 218/302 (72%)
Round 37: 157/302 (52%)
Round 38: 231/304 (76%)
Round 39: 227/309 (73%)
Round 40: 161/304 (53%)
Round 41: 222/300 (74%)
Round 42: 203/304 (67%)
Round 43: 168/307 (55%)
Round 44: 225/296 (76%)
Round 45: 188/298 (63%)
Round 46: 196/298 (66%)
Round 47: 179/304 (59%)
Round 48: 237/308 (77%)
Round 49: 175/310 (56%)
Round 50: 196/295 (66%)
Round 51: 151/305 (50%)
Round 52: 104/302 (34%)
Round 53: 114/300 (38%)
Round 54: 144/305 (47%)
Round 55: 90/298 (30%)
Round 56: 105/303 (35%)
Round 57: 147/303 (49%)
Round 58: 101/301 (34%)
Round 59: 124/305 (41%)
Round 60: 116/301 (39%)
Round 61: 147/297 (49%)
Round 62: 104/301 (35%)
Round 63: 92/299 (31%)
Round 64: 118/303 (39%)
