Quartile Boundaries:
Q1/Q2 boundary (25th percentile): 50.45 %
Q2/Q3 boundary (50th percentile/median): 57.92 %
Q3/Q4 boundary (75th percentile): 70.08 %

Participant Rankings (Best to Worst):
Rank	Participant ID	Overall Accuracy (%)	Overall Correct	Overall Total	Choice1 Accuracy (%)	Choice1 Correct	Choice1 Total	Choice2 Accuracy (%)	Choice2 Correct	Choice2 Total	Quartile
1	286	92.19	118	128	92.19	59	64	92.19	59	64	Top Quartile (Q4)
2	290	87.5	112	128	87.5	56	64	87.5	56	64	Top Quartile (Q4)
3	148	87.4	111	127	84.13	53	63	90.62	58	64	Top Quartile (Q4)
4	541	87.4	111	127	87.3	55	63	87.5	56	64	Top Quartile (Q4)
5	228	87.2	109	125	88.71	55	62	85.71	54	63	Top Quartile (Q4)
6	179	86.72	111	128	85.94	55	64	87.5	56	64	Top Quartile (Q4)
7	14	86.51	109	126	87.3	55	63	85.71	54	63	Top Quartile (Q4)
8	529	86.51	109	126	85.71	54	63	87.3	55	63	Top Quartile (Q4)
9	546	86.51	109	126	85.71	54	63	87.3	55	63	Top Quartile (Q4)
10	336	84.92	107	126	82.54	52	63	87.3	55	63	Top Quartile (Q4)
11	131	84.13	106	126	87.1	54	62	81.25	52	64	Top Quartile (Q4)
12	28	83.61	102	122	83.33	50	60	83.87	52	62	Top Quartile (Q4)
13	121	83.59	107	128	82.81	53	64	84.38	54	64	Top Quartile (Q4)
14	34	83.06	103	124	83.61	51	61	82.54	52	63	Top Quartile (Q4)
15	37	82.81	106	128	82.81	53	64	82.81	53	64	Top Quartile (Q4)
16	94	82.81	106	128	82.81	53	64	82.81	53	64	Top Quartile (Q4)
17	203	82.54	104	126	85.48	53	62	79.69	51	64	Top Quartile (Q4)
18	43	82.4	103	125	80.33	49	61	84.38	54	64	Top Quartile (Q4)
19	455	82.4	103	125	82.54	52	63	82.26	51	62	Top Quartile (Q4)
20	226	82.03	105	128	82.81	53	64	81.25	52	64	Top Quartile (Q4)
21	90	81.75	103	126	80.95	51	63	82.54	52	63	Top Quartile (Q4)
22	252	81.75	103	126	80.95	51	63	82.54	52	63	Top Quartile (Q4)
23	147	81.6	102	125	80.95	51	63	82.26	51	62	Top Quartile (Q4)
24	142	81.45	101	124	83.61	51	61	79.37	50	63	Top Quartile (Q4)
25	155	81.3	100	123	81.25	52	64	81.36	48	59	Top Quartile (Q4)
26	38	81.25	104	128	81.25	52	64	81.25	52	64	Top Quartile (Q4)
27	81	81.1	103	127	80.95	51	63	81.25	52	64	Top Quartile (Q4)
28	122	81.1	103	127	79.69	51	64	82.54	52	63	Top Quartile (Q4)
29	235	81.1	103	127	82.54	52	63	79.69	51	64	Top Quartile (Q4)
30	211	80.87	93	115	80	44	55	81.67	49	60	Top Quartile (Q4)
31	63	80.47	103	128	82.81	53	64	78.12	50	64	Top Quartile (Q4)
32	355	80.47	103	128	81.25	52	64	79.69	51	64	Top Quartile (Q4)
33	491	80.33	98	122	79.69	51	64	81.03	47	58	Top Quartile (Q4)
34	162	80.17	97	121	83.05	49	59	77.42	48	62	Top Quartile (Q4)
35	322	80.16	101	126	79.03	49	62	81.25	52	64	Top Quartile (Q4)
36	223	80	100	125	77.05	47	61	82.81	53	64	Top Quartile (Q4)
37	289	79.37	100	126	79.03	49	62	79.69	51	64	Top Quartile (Q4)
