Prolific ID,Base Payoff,Bonus Payoff,Total Payoff,Final Bonus Score,Final Choice 1 Sum
Unknown,6.0,0.0,6.0,-40,-80
Unknown,6.0,0.37,6.37,280,-100
Unknown,6.0,0.16,6.16,120,-280
Unknown,6.0,0.0,6.0,-260,0
Unknown,6.0,0.0,6.0,-120,-160
No ID provided,6.0,0.0,6.0,-200,360
No ID provided,6.0,0.0,6.0,-220,-60
No ID provided,6.0,0.0,6.0,-220,320
No ID provided,6.0,0.0,6.0,-240,-120
No ID provided,6.0,0.05,6.05,40,0
Unknown,6.0,0.0,6.0,-100,-700
Unknown,6.0,0.61,6.61,460,-80
Unknown,6.0,0.51,6.51,380,200
Unknown,6.0,0.0,6.0,0,120
Unknown,6.0,0.0,6.0,-140,40
Unknown,6.0,0.16,6.16,120,600
Unknown,6.0,0.0,6.0,-660,180
Unknown,6.0,0.67,6.67,500,200
Unknown,6.0,0.75,6.75,560,500
Unknown,6.0,0.61,6.61,460,-60
Unknown,6.0,0.16,6.16,120,-240
Unknown,6.0,0.24,6.24,180,220
Unknown,6.0,0.64,6.64,480,100
Unknown,6.0,0.0,6.0,-540,-500
Unknown,6.0,0.0,6.0,-20,320
Unknown,6.0,0.27,6.27,200,-60
Unknown,6.0,0.0,6.0,-220,-520
Unknown,6.0,0.0,6.0,-620,-600
Unknown,6.0,0.53,6.53,400,520
Unknown,6.0,0.35,6.35,260,80
Unknown,6.0,0.24,6.24,180,-220
Unknown,6.0,0.19,6.19,140,60
Unknown,6.0,0.0,6.0,-160,-360
Unknown,6.0,0.11,6.11,80,-360
Unknown,6.0,0.0,6.0,-180,-60
Unknown,6.0,0.0,6.0,-540,100
Unknown,6.0,0.0,6.0,-60,680
Unknown,6.0,0.35,6.35,260,-220
Unknown,6.0,0.0,6.0,-340,-240
Unknown,6.0,0.0,6.0,-40,-440
Unknown,6.0,0.45,6.45,340,220
Unknown,6.0,0.0,6.0,-20,-260
Unknown,6.0,0.21,6.21,160,0
Unknown,6.0,0.24,6.24,180,400
Unknown,6.0,0.64,6.64,480,800
Unknown,6.0,0.4,6.4,300,-60
Unknown,6.0,0.0,6.0,-180,100
Unknown,6.0,0.0,6.0,-120,280
Unknown,6.0,0.05,6.05,40,480
Unknown,6.0,0.0,6.0,-100,-680
Unknown,6.0,0.77,6.77,580,60
Unknown,6.0,0.0,6.0,-200,-200
Unknown,6.0,0.0,6.0,-20,-340
Unknown,6.0,0.27,6.27,200,480
Unknown,6.0,0.0,6.0,-260,-400
Unknown,6.0,0.24,6.24,180,320
Unknown,6.0,0.0,6.0,-400,180
Unknown,6.0,0.0,6.0,-440,-20
Unknown,6.0,0.56,6.56,420,140
Unknown,6.0,0.11,6.11,80,-620
Unknown,6.0,0.43,6.43,320,-40
